content,value
【我是女王】影片我是女王是根据网络人气小说我是女王！一个大款一伙夫、那些坏男人教会我的事改编而成！通过3位闺蜜的眼睛，折射婚姻内外的一段段不了情，脑袋大脖子粗……小品演员 ?,OOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#花游记#小哥#费玉清#演唱京城81号2片尾曲回魂，MV中悠扬的曲调和民国背景完美契合，细腻的歌声歌词暗示着张智霖、梅婷、钟欣潼前世今生的复杂情感。配合着剧情看，鸡皮疙瘩都要起来了。#0706京城81号2# 网页链接 ?,OOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#徐海乔# 毕业于上戏表演系03级本科班 其主演的大学生士兵的故事获得第28届飞天奖二等奖 首次担当男一号康凯的电影古镇凶灵之巫咒缠身入围第37届蒙特利尔国际电影节 成为中国第一部入围国际A类电影节的惊悚片 期待2018夜天子叶小天！@徐海乔 ?,OOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOO
【奇妙的朋友之萌爱2016】影片讲述了经纪初哥赵大海（杜海涛饰）接到一个任务：带领李宇春、倪妮、黄轩、胡杏儿、杜天皓五位明星前往自然保护区担任动物保护大使。伴随着区内举世瞩目的熊猫三胞胎的诞生，明星大使倍感兴奋。其后，大海及明星在动物世界中逐渐成长并收获友情。 ?,OBIIIIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@法制天梯: //@董郎dxp:#瞭望阅读# @作家沙光 @陈满华CMH @乔志峰 @陈启宙 //@袁立：这是我在旧金山买的艺术品，不是金的，后来送给当地一线志愿者了，竹子造型，我觉的很有气节，喜欢！没有人看到，我手指头上的大水泡吗，是被当地村干部，不小心开水烫的,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
四季更替，冬去春来。山地的最高处总坐着一个人。没有YWF725人知道他打哪来。据说破晓时分山中总有狼的嘶吼，像杜鹃的哀啼令人心碎，从没伤过人也没出现过。两鬓斑白的她一路攀爬到山顶，看着那个落寞的背影，只听到，不要走我想你。她不知道狼人居然学会了说话。从她走后，狼人唯一学会的人话，且日夜 ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@卍奡魔王RDJ: 哈哈哈哈可爱死了//@听RDJ在耳边说爱我-啊啾:啥都了解一下//@阙影的男票是抖森:笑吐//@夏xia只会哈哈哈:哈哈哈哈哈哈哈哈哈哈哈//@忍者神龟文森特:哈哈哈哈哈哈哈哈哈哈哈哈囧雪//@Ann安C--冬南:啥都了解一下哈哈哈哈哈哈//@Lydia_Melantha:啥都了解一下hhh,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
两人在大学校园中重逢……林雨桐的不知所踪……【时间都去哪了】姚远（郭品超饰）和林雨桐（杨紫饰）是一对儿在SARS特殊时期结缘的小伙伴。 ?,OOOOOOOOOOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#赵薇# 2018[心]没有别的爱！,OOOOOOOOOOOOOOOOOO
17看了那些书呢，,OOOOOOOOO
一句顶一万句,OOOOOO
三体,OO
吴承恩捉妖记,OOOOOO
第三本因为才看完所以能说出来，其他的那些网文都没什么映像。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2017全年视听总结：43场电影，3场画展，1场话剧，1场音乐会，消费额算不清。所有看过的电影里个人最不喜欢前三：降魔传妖猫传妖铃铃，以后三个字的电影我买票前要深深反思，看到演员表里有郑凯我绕道。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
三体话剧非常期待，可惜因为时间关系没有买到票，遗憾错过。,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
罗志祥演唱会，因为担心太晚地铁被挤...全文： http://m.weibo.cn/1747545354/4191324473770160 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#宋茜##来吧冠军##宋茜反转人生#宋茜上古情歌#@宋茜#宋茜首张同名专辑# #上古情歌##宋茜我们来了# //@宋茜: 备好和所有最强舞者一起燃烧这个舞台啦，你们准备好...,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@男神执事团:怀念过去一直能收到宏哥粉丝团制作的月历，还有粉丝团姐姐送的不二情书的电影票，谢谢那么多亲切安利的粉丝，因为你们，所以我们一直还在努力制作男神新的内容。动画化的时候，特地和导演哥哥讲戏，保留了很多宏哥和姐姐的故事，作为对2015年那个夏天惊艳首演的一个纪念。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
|狂兽，真是可惜阿乐张晋吴越文咏珊了，除了打戏其他都是什么玩意儿 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#电影拆弹专家##刘德华# 很喜欢这段感言，不说教却动人，点明全片基调，也暗示结局，听粤语很有感觉 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
这首歌改编翻唱自意大利经典作品quandoquandoquando；如此深情而婉转的探问，李泉联手李昕芸演唱微电影艳遇同名主题曲：实在是比“我爱你”更含蓄也更有震撼力！萧十一郎侠盗萧十一郎，吴奇隆转弯[toto无聊] ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[剧情片] 昼颜 电影版720p.BD高清中字 百度云网盘下载,OOOOOOBIIIIIOOOOOOOOOOOOOOOOOOO
链接：http://t.cn/RHykRLn 密码：p1ya ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#吴亦凡#Wuli颖宝真是一个唱跳俱佳的才女，在电影女汉子真爱公式中，赵丽颖身穿一袭红裙，大跳性感凳子舞，姿势性感撩人，撩的现场男士鼻血直喷，最后竟然一手将凳子劈成两半，惊呆所有人！ 娱乐日爆社...  http://t.cn/RXzwRZG ?,OOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
你距离成为一个有个性的人，只差一个纹身。#权志龙##陈伟霆醉玲珑##杨洋#@红髅纹艺 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
?我正在收听陶喆的单曲爱，很简单(单身男女电影插曲|单身男女2主题曲)?http://t.cn/RHY2Ap5（来自@QQ音乐） ?,OOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#扫电影# 补一个2017年8月-12月观影记录，具体评价见图上打分。不一一影评了。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
8月建军大业绝世高手杀破狼二十二,OOOOOOOOOOOOOOOO
9月十万个冷笑话反转人生闪光少女悟空传,OOOOOOOOOOOOOOOOOOO
10月追龙羞羞的铁拳英伦对决,OOOOOOOOOOOOOO
12月天才枪手实习生芳华寻梦环游记唐山大地震 ?,OOOOOOOOOOOOOOOOOOOOOOOO
#欧豪#说了再见收录在周杰伦第十张个人专辑跨时代，是传统的“周氏”情歌，曲风舒缓、委婉，很有周杰伦的味道，由古小力和黄凌嘉作词、周杰伦谱曲、钟兴民编曲，是李连杰电影海洋天堂中的歌曲。 ?,OOOOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【看动图！小偷这样一秒偷走你的财物】日前，成都地铁天府广场站，两名男子一人掩护、一人扒窃，一秒钟就从女子外衣兜里偷得手机。小偷表示最喜欢冬季，厚厚的外套兜更是他们的“罪爱”。警方提醒，钱包、手机等贵重物品最好放贴身衣物口袋。扩散！多个转发，可能少个人被偷！ ? ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#贺军翔醉佳导演# 2018希望我们都能筑梦踏实@贺军翔//@贺军翔:很多人都有电影梦，真正成功能当饭吃的也是少数，但重要的是追逐梦想的过程！@电影醉佳导演 终于要上映了，多多支持唷！???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
然后坚持过完了她臆想中与父亲相聚的7天、采撷大自然音符滋润心灵：浑圆完美的声线---班得瑞HeavensGate天堂之门！使音场效果更具空灵感、除了到隔壁一家电影院一遍一遍看同一个电影、她如愿地在雨中的小旅馆住满7天……没有年龄限制的音乐极品！摘自2014年情感读本·道德篇第11期母亲与小鱼 ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
重看墨攻，越发感到上海东方卫视跨年音乐会的精妙，范冰冰演得是逸悦，逸是侯逸凡施佳一，悦是徐姐。 ?,OOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【勇士之门】废柴男孩机缘巧合地开启了异世界的大门，卷入了一场惊心动魄的种族斗争：赵又廷饰演的武士和倪妮饰演的公主与戴夫?巴蒂斯坦带领的蛮人军队斗智斗勇，不仅如此，两位身负国家和种族命运的勇士还要面对凶悍的蛮人和伺机夺命的巨人、树妖等精怪。 ?,OBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
哇哦我来答题啦寻梦环游记  敦刻尔克  天才枪手 至爱梵高蜘蛛侠英雄归来  速度与激情8  王牌特工2黄金圈 欢乐好声音 大护法 变形金刚5  小丑回魂   银翼杀手 看不见的客人 美女与野兽 机器之血 战狼2  缝纫机乐队赞赞哒叫我小能手,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
19号上映的第一夫人和奇迹男孩已经有预售了，而且北美口碑很好，神秘巨星还没预售，公牛历险记我看了预告片之后觉得会是一部黑马[微笑]。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
"【电影扒扒君】暗杀游戏这样的空难没人能逃过, 飞机2分钟后全部解体粉碎 http://t.cn/RHQ6rLu ?",OOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
写完脚本直呼爱情真他妈恶心//@中分像刘欢:为了期末作业看了一下午小情书！！！[二哈][二哈][二哈][二哈]靠晚上做梦都是甜甜的，齁得慌！翻拍出来感觉自己不敢看～[衰]//@没错Hedgehog呀:期末作业就你了,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@使徒子://@狗城漫画:恭喜@住在树上的小考拉 等2名用户获得【红包】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公证链接：http://t.cn/RHHkhfn,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#许晴24小时生存# 非常期待！[心]?@许晴随行笔记 爱Madam 晴,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
@绯闻移动 @是王女士201605 @原来你也曾独自等待,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
“金马x新浪潮”新导演论坛于11月22日在台北举办，路边野餐导演毕赣、一念无明导演黄进以及红衣小女孩2导演程伟豪担任嘉宾，金马影展执行长闻天祥担任主持人。新导演如何起步？怎样获得演员信任？面对观众评价要有怎样的心态？来看看如今已是#金马奖#得主的三位影坛新势力现身说法！~新浪 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOBIIIOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
四封小情书：送给远方的你(同步自@新浪看点)四封小情书：送给远方的你 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
以后手机上网不用流量了、这趟神秘的列车究竟有着怎样的故事呢……我的无线……突然收到一张看似意外的火车票。由于一次误会：他召唤来了一辆从天而降的列车、【摩尔庄园3大电影；摩乐乐错失了出国旅行的好机会。接着：魔幻列车大冒险】摩尔庄园的天空树屋里。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
群侠拱手，尘埃落定，逆水寒将采用“时间点卡收费”。@逆水寒 就是#我的江湖# 我制定了第一个江湖规矩。 http://t.cn/RT4ofeI ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【电影西游·盘丝洞筹拍中，对方表示影片还在筹备，雇用私家侦探去查她的行踪！】著名导演程小东带队到张家界武陵源核心景区踩线后表示。程小东确实是勘景、时光网也去向制片公司新丽传媒相关负责人求证，但其他细节不愿回应……一个商人爱上了夜总会的一个女招待；关于这个消息！ ?,OOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
永恒的感动，一对极富魅力的艺术家夫妇切斯特·麦克法兰和他美貌的妻子科莱特乘坐小船穿越海峡来到希腊游玩！永远的，卡农百听不厌……【亡命地中海】根据美国著名小说家派翠西亚·海史密斯的同名小说改编、1962年[lt泪目] ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
独立作词作曲 亲自手绘封面 嗯 喜欢的人很优秀 真的真的好爱你啊王源 我的王源 预祝十七岁的你越来越好 我的小小爱人 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
因为我舍不得，其实我都明白……你给了我那么多童话……但我就是不想拆穿、——伤心童话 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOO
感觉是片方特意叮嘱的，不止一家影院给了观众这个告示，毕竟地心引力、星际穿越，和去年的异星觉醒都有这样的静音片段，甚至时长更长，但是也没见影院出来blabla婆婆妈妈,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
官方正式公布了“超体”英雄的真面目、亦正亦邪……开发“寄生英雄”玩法、并提前泄露一段角色CG的精彩片段、一体两面的英雄形象让人惊叹；双方联合推出全新英雄，【危机2015新英雄首爆寄生异变CG泄密】网易首款全英雄射击网游危机2015发布和电影超体合作的概念预告站 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
A8L本身的线条已堪称完美……星火燎原独行侠机器人启示录霍比特人2怪兽电力公司2终结者5杰克与巨人星际迷航12夺宝奇兵5卑鄙的我2；没必要画蛇添足……笔直的腰线。俨然一副硬汉本色。【奥迪A8Lhybrid】A8Lhybrid拥有霸气的前脸：【明年上映大片】速度与激情6 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
那一年，谁没有失过恋？那一年，谁没有喜欢twins？那一年，谁不会唱恋爱大过天？可惜今晚没唱。从前的twins陪我走过春夏秋冬喜怒哀乐，今天和她们一起合唱每首从前最爱的歌，真的感慨万千，希望Twins可以好好走下去别再出什么岔子，你们陪着我的青春期永远存在我最美的回忆里。[爱心]?  ?...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1.作为明星，让渡一部分个人隐私可以理解。但生殖器也变成公共资源是不是有点过界了？2.就通过某一件事把一个人脸谱化的全是傻逼。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
厉害了Word天，在#亚洲新歌榜#可以为MV来打榜啦！不试试你咋知道能不能上天呢。@张靓颖  Lady Killer(电影谜巢主题曲) ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOO
最喜欢李安的饮食男女 ???,OOOOOOBIIIOOOO
赶紧把老卡毛剃光光~！让它光腚~！//@杯中红酒自己喝V: 回复@白狐小翠儿://@白狐小翠儿:哎哟，小样吧。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
我正在收听陶喆的单曲爱，很简单(单身男女电影插曲|单身男女2主题曲)爱，很简单 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
炉石传说之中二病也要打炉石Sol君英雄难度冰龙巢穴，引塔里木河水灌溉农田为时代背景……讲述了“塔河五姑娘”青春。坚决要求上工地挖渠，【我的处女地】本片以1951年至1954年人民解放军在塔里木开挖新疆第一条人工河“胜利渠”；奋斗的传奇故事，湖南的女兵娃；某连新来了五个20多岁来自山东！  ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
昨天看了亡人越刀的女巫请睁眼，可把我累坏了。一堆人被搞到一个岛上进行现实版狼人杀的故事。抽掉攻受感情线的话，就是一篇架构完整的孤岛求生类本格推理小说了，当然这类小说的主题毫无意外是复仇以及人性的恶与善。推理本身已经看得很累了（求知欲让我看到最后），大量未经解释的规则术语对于不 ?...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
配音本尊简直可爱~！定番甜点小王子与意面和日本料理//@_smaP_yoyo:啊啦～ササエさん！哒呗又出来了233,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#谭佑铭电影海阔天空#  值得推荐的好电影！[给力][围观],OOOOOOBIIIOOOOOOOOOOOOOOOOOOOO
"谢谢博主 真开心哇//@猫本小螃蟹:恭喜@haohaomin 等6名用户获得【小熊帽】, @Catherine小汐 等3名用户获得【红包】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公证链接：微博抽奖平台",OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
郑伊健当年拍古惑仔时接受采访大秀香港普通话，浩南哥你还是砍人吧，普通话真的不适合你电影狙击手的秒拍视频 ???,OOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【艾匹克曝喜感角色海报 瓦尔兹、法莱尔配音】动画大片艾匹克，曝光最新角色海报，各角色形象古怪，但喜感十足。今年的奥斯卡最佳男配瓦尔兹，为蓝皮怪人曼达克配音，好莱坞著名男星法莱尔为弓箭手罗尼献声。这部艾匹克也备受期待，将于今年5月24日登场。 ?,OBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【奇幻童话电影集合】爱丽丝梦游仙境胡桃夹子：魔境冒险查理和巧克力工厂大鱼潘神的迷宫魔法灰姑娘小红帽纳尼亚传奇博物馆奇妙夜仙境之桥小飞侠睡前故事奇幻精灵事件簿神奇玩具店魔法保姆麦克菲欢迎补充！！ ? ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
影片讲述的是一个民工赵本山饰为完成对死去老乡的承诺，不远万里将老乡遗体送回故乡，也就是落叶归根。导演张扬首次尝试公路片题材，赵本山饰演的民工在其一路上的风风雨雨让人笑中含泪。 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
我这种人怎么办吧一点耐心都没有，玩游戏觉得麻烦，看剧总是看一半看不下去，动漫也看不下去觉得巨无聊还可能睡着，电影也经常看了个开头就觉得好麻烦啊不想看了。那以后谈恋爱怎么办吧。男朋友：你在干嘛呀？我：玩手机。男朋友：我今天怎么怎么样了喔。我：哦。(内心：这个人好烦啊谁想听你那 ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#爱生活爱搞笑##爱旅行爱摄影#shui22该片由王章俊执导，于2017年8月18日在中国内地上映。赛尔号大电影6：圣者无敌是由淘米动画工作室、爱奇艺、鱼子酱文化、优漫卡通、上影股份等联合出品的奇幻冒险类动画电影。http://t.cn/R9HjFjN[闭嘴] ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
电影我是马布里宣传曲冠军诚意来袭！虽然马布里很棒，但是我是偷偷来看吴尊的[害羞][害羞][害羞] http://t.cn/R9cbTu3 ?,OOBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【碟仙诡谭】一部恐怖片的拍摄现场，几个演员开启了碟仙占卜的道具，于是恐怖降临，几个人接连被“鬼”袭击。看似碟仙害人，却隐藏着一场精心策划的复仇杀局。几个人拼死反击，最终获救，也解开了仇恨的心结，忏悔了青春的莽撞。#电影推荐# ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看过冰雪女皇之冬日魔咒，我评：[星星][星星][星星]  http://t.cn/RWwvEnW 来自@淘票票 ?,OOBIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
分享单曲 你从未离去 (电影熊出没之雪岭熊风片尾主题曲) (@网易云音乐) 【我喜欢熊出没，喜欢熊大熊二光头强，但是没想到雪岭熊风能看哭，看哭熊二和团子(?;︵;`)唉这段看的我讨厌人类?】 ???,OOOOOOOOOOOOOOBIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#30天推歌挑战#day23#Magia#今天二周目了神无月。神无月的男配真是我见过最佛系的人了orz，一直守护着女主，保护着女主，女主原本都已经喜欢上他了orz，后面还是助攻女主去找命中注定的那个人，自己还毫无怨言orz，真可惜你走错片场了…千姬恋生生世世无限轮回，女主终究还是会喜欢上千大人。喜欢 ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
